PLAYER_NAME,Team,Class,Height,Position,PLAYER_ID,TEAM_NAME,GAMES,MINUTES_PLAYED,FIELD_GOALS_MADE,FIELD_GOAL_ATTEMPTS,FIELD_GOAL_PERCENTAGE,THREE_POINTS_MADE,THREE_POINT_ATTEMPTS,THREE_POINT_PERCENTAGE,FREE_THROWS_MADE,FREE_THROW_ATTEMPTS,FREE_THROW_PERCENTAGE,OFFENSIVE_REBOUNDS,DEFENSIVE_REBOUNDS,TOTAL_REBOUNDS,ASSISTS,TURNOVERS,STEALS,BLOCKS,FOULS,POINTS
Sarah Andrews, Baylor (Big 12),Senior,66,Guard,ncaaw.p.64354,Baylor,31,920,113,299,37.8,65,186,34.9,52,70,74.3,12,63,75,121,57,38,5,55,343
O'Mariah Gordon, Florida St. (ACC),Junior,64,Guard,ncaaw.p.67620,Florida St.,33,1020,160,374,42.8,55,143,38.5,68,86,79.1,28,79,107,110,52,30,8,67,443
Lacy Stokes, Missouri St. (MVC),Junior,64,Guard,ncaaw.p.112902,Missouri St.,29,925,111,266,41.7,21,77,27.3,103,147,70.1,19,63,82,132,67,69,0,57,346
Jenna Annecchiarico, Col. of Charleston (CAA),Senior,66,Guard,ncaaw.p.57112,Charleston,28,1037,135,338,39.9,44,114,38.6,106,118,89.8,23,104,127,162,83,77,4,58,420
Taija Sta. Maria, Fresno St. (Mountain West),Freshman,66,Guard,ncaaw.p.112534,Fresno St.,31,1007,82,216,38,22,70,31.4,56,67,83.6,12,65,77,118,56,27,3,49,242
Jamie Loera, Eastern Wash. (Big Sky),Senior,69,Guard,ncaaw.p.57304,Eastern Wash.,30,999,143,347,41.2,56,136,41.2,57,68,83.8,24,154,178,164,81,72,13,50,399
Cecelia Collins, Columbia (Ivy League),Junior,72,Guard,ncaaw.p.66948,Columbia,27,702,133,270,49.3,25,78,32.1,83,96,86.5,50,71,121,107,48,11,3,53,374
Georgia Amoore, Virginia Tech (ACC),Senior,66,Guard,ncaaw.p.64782,Kentucky,30,1059,211,505,41.8,81,238,34,72,84,85.7,12,70,82,208,103,28,11,58,575
Amari Wright, Seton Hall (Big East),Senior,69,Guard,ncaaw.p.63907,Seton Hall,29,899,47,121,38.8,6,31,19.4,38,52,73.1,10,77,87,158,80,62,11,39,138
Aleah Nelson, Temple (AAC),Senior,66,Guard,ncaaw.p.60444,Temple,30,953,124,336,36.9,48,153,31.4,66,81,81.5,18,83,101,130,59,37,2,37,362
